Episode 58, Reward:9.20, Noise:0.751, epsilon: 0.972, aloss:-4.952, closs: 0.106, time: 0.73
Episode 59, Reward:10.35, Noise:0.748, epsilon: 0.971, aloss:-5.182, closs: 0.100, time: 0.88
Episode 60, Reward:14.10, Noise:0.744, epsilon: 0.971, aloss:-5.168, closs: 0.108, time: 1.11
Episode 61, Reward:14.70, Noise:0.740, epsilon: 0.970, aloss:-5.158, closs: 0.097, time: 1.14
Episode 62, Reward:1.40, Noise:0.737, epsilon: 0.970, aloss:-5.213, closs: 0.097, time: 0.14
Episode 63, Reward:13.80, Noise:0.733, epsilon: 0.969, aloss:-5.038, closs: 0.109, time: 1.11
Episode 64, Reward:5.10, Noise:0.729, epsilon: 0.969, aloss:-5.118, closs: 0.100, time: 0.37
Episode 65, Reward:7.65, Noise:0.726, epsilon: 0.968, aloss:-5.103, closs: 0.096, time: 0.74
Episode 66, Reward:5.40, Noise:0.722, epsilon: 0.968, aloss:-5.205, closs: 0.093, time: 0.46
Episode 67, Reward:3.65, Noise:0.718, epsilon: 0.968, aloss:-5.191, closs: 0.119, time: 0.39
Episode 68, Reward:0.05, Noise:0.715, epsilon: 0.967, aloss:-5.058, closs: 0.108, time: 0.01
Episode 69, Reward:13.95, Noise:0.711, epsilon: 0.967, aloss:-5.067, closs: 0.104, time: 1.12
Episode 70, Reward:6.65, Noise:0.708, epsilon: 0.966, aloss:-5.070, closs: 0.101, time: 0.61
Episode 71, Reward:14.15, Noise:0.704, epsilon: 0.966, aloss:-5.016, closs: 0.113, time: 1.11
Episode 72, Reward:8.90, Noise:0.701, epsilon: 0.965, aloss:-4.948, closs: 0.099, time: 0.73
Episode 73, Reward:2.20, Noise:0.697, epsilon: 0.965, aloss:-5.080, closs: 0.107, time: 0.20
Episode 74, Reward:10.60, Noise:0.694, epsilon: 0.964, aloss:-5.104, closs: 0.101, time: 1.18
Episode 75, Reward:10.75, Noise:0.690, epsilon: 0.964, aloss:-4.976, closs: 0.108, time: 1.13
Episode 76, Reward:11.90, Noise:0.687, epsilon: 0.963, aloss:-4.986, closs: 0.106, time: 1.13
Episode 77, Reward:0.95, Noise:0.683, epsilon: 0.963, aloss:-4.929, closs: 0.092, time: 0.08
