Episode 58, Reward:1.25, Noise:0.564, epsilon: 0.972, aloss:-4.921, closs: 0.101, time: 0.12
Episode 59, Reward:10.10, Noise:0.558, epsilon: 0.971, aloss:-4.890, closs: 0.086, time: 1.10
Episode 60, Reward:1.45, Noise:0.553, epsilon: 0.971, aloss:-4.922, closs: 0.094, time: 0.18
Episode 61, Reward:15.85, Noise:0.547, epsilon: 0.970, aloss:-4.873, closs: 0.088, time: 1.09
Episode 62, Reward:2.95, Noise:0.542, epsilon: 0.970, aloss:-4.943, closs: 0.089, time: 0.20
Episode 63, Reward:9.80, Noise:0.536, epsilon: 0.969, aloss:-4.856, closs: 0.094, time: 1.09
Episode 64, Reward:9.00, Noise:0.531, epsilon: 0.969, aloss:-4.849, closs: 0.086, time: 1.11
Episode 65, Reward:10.10, Noise:0.526, epsilon: 0.968, aloss:-4.811, closs: 0.083, time: 0.71
Episode 66, Reward:10.90, Noise:0.520, epsilon: 0.968, aloss:-4.833, closs: 0.093, time: 1.09
Episode 67, Reward:10.40, Noise:0.515, epsilon: 0.968, aloss:-4.815, closs: 0.088, time: 1.10
Episode 68, Reward:2.40, Noise:0.510, epsilon: 0.967, aloss:-4.797, closs: 0.084, time: 0.18
Episode 69, Reward:8.15, Noise:0.505, epsilon: 0.967, aloss:-4.785, closs: 0.090, time: 0.99
Episode 70, Reward:6.70, Noise:0.500, epsilon: 0.966, aloss:-4.771, closs: 0.084, time: 0.93
Episode 71, Reward:1.70, Noise:0.495, epsilon: 0.966, aloss:-4.834, closs: 0.057, time: 0.12
Episode 72, Reward:12.20, Noise:0.490, epsilon: 0.965, aloss:-4.774, closs: 0.091, time: 1.11
Episode 73, Reward:10.95, Noise:0.485, epsilon: 0.965, aloss:-4.754, closs: 0.095, time: 1.11
Episode 74, Reward:8.10, Noise:0.480, epsilon: 0.964, aloss:-4.636, closs: 0.090, time: 0.79
Episode 75, Reward:10.00, Noise:0.475, epsilon: 0.964, aloss:-4.595, closs: 0.105, time: 1.12
Episode 76, Reward:10.60, Noise:0.471, epsilon: 0.963, aloss:-4.600, closs: 0.098, time: 1.12
Episode 77, Reward:8.65, Noise:0.466, epsilon: 0.963, aloss:-4.576, closs: 0.098, time: 1.12
Episode 78, Reward:9.80, Noise:0.461, epsilon: 0.962, aloss:-4.557, closs: 0.094, time: 1.13
Episode 79, Reward:10.00, Noise:0.457, epsilon: 0.962, aloss:-4.605, closs: 0.088, time: 1.13
Episode 80, Reward:0.80, Noise:0.452, epsilon: 0.961, aloss:-4.670, closs: 0.092, time: 0.13
Episode 81, Reward:9.80, Noise:0.448, epsilon: 0.961, aloss:-4.695, closs: 0.099, time: 1.12
Episode 82, Reward:9.85, Noise:0.443, epsilon: 0.960, aloss:-4.614, closs: 0.113, time: 1.14
Episode 83, Reward:9.65, Noise:0.439, epsilon: 0.960, aloss:-4.598, closs: 0.098, time: 1.16
Episode 84, Reward:10.30, Noise:0.434, epsilon: 0.959, aloss:-4.665, closs: 0.107, time: 1.12
Episode 85, Reward:8.70, Noise:0.430, epsilon: 0.959, aloss:-4.725, closs: 0.100, time: 1.12
Episode 86, Reward:10.05, Noise:0.426, epsilon: 0.958, aloss:-4.695, closs: 0.106, time: 1.13
Episode 87, Reward:5.90, Noise:0.421, epsilon: 0.958, aloss:-4.702, closs: 0.094, time: 0.68
Episode 88, Reward:9.80, Noise:0.417, epsilon: 0.957, aloss:-4.688, closs: 0.104, time: 1.12
Episode 89, Reward:11.25, Noise:0.413, epsilon: 0.957, aloss:-4.666, closs: 0.088, time: 1.17
Episode 90, Reward:4.65, Noise:0.409, epsilon: 0.956, aloss:-4.621, closs: 0.089, time: 0.61
Episode 91, Reward:12.70, Noise:0.405, epsilon: 0.956, aloss:-4.651, closs: 0.084, time: 1.14
Episode 92, Reward:7.75, Noise:0.401, epsilon: 0.956, aloss:-4.646, closs: 0.086, time: 0.98
Episode 93, Reward:7.65, Noise:0.397, epsilon: 0.955, aloss:-4.688, closs: 0.081, time: 0.97
Episode 94, Reward:8.05, Noise:0.393, epsilon: 0.955, aloss:-4.762, closs: 0.088, time: 0.90
Episode 95, Reward:10.85, Noise:0.389, epsilon: 0.954, aloss:-4.665, closs: 0.096, time: 1.12
Episode 96, Reward:9.60, Noise:0.385, epsilon: 0.954, aloss:-4.619, closs: 0.080, time: 1.13
Episode 97, Reward:1.10, Noise:0.381, epsilon: 0.953, aloss:-4.646, closs: 0.101, time: 0.13
Episode 98, Reward:3.95, Noise:0.377, epsilon: 0.953, aloss:-4.576, closs: 0.099, time: 0.44
Episode 99, Reward:9.40, Noise:0.373, epsilon: 0.952, aloss:-4.563, closs: 0.085, time: 1.15
Episode 100, Reward:9.75, Noise:0.370, epsilon: 0.952, aloss:-4.553, closs: 0.084, time: 1.17
Episode 101, Reward:7.45, Noise:0.366, epsilon: 0.951, aloss:-4.592, closs: 0.075, time: 0.94
Episode 102, Reward:9.50, Noise:0.362, epsilon: 0.951, aloss:-4.540, closs: 0.090, time: 1.12
Episode 103, Reward:9.40, Noise:0.359, epsilon: 0.950, aloss:-4.490, closs: 0.086, time: 1.12
Episode 104, Reward:11.10, Noise:0.355, epsilon: 0.950, aloss:-4.500, closs: 0.076, time: 1.12
Episode 105, Reward:10.05, Noise:0.352, epsilon: 0.949, aloss:-4.519, closs: 0.080, time: 1.12
Episode 106, Reward:12.00, Noise:0.348, epsilon: 0.949, aloss:-4.526, closs: 0.075, time: 1.12
Episode 107, Reward:9.15, Noise:0.345, epsilon: 0.948, aloss:-4.587, closs: 0.077, time: 1.14
Episode 108, Reward:11.20, Noise:0.341, epsilon: 0.948, aloss:-4.611, closs: 0.073, time: 1.16
Episode 109, Reward:0.50, Noise:0.338, epsilon: 0.947, aloss:-4.565, closs: 0.102, time: 0.05
Episode 110, Reward:10.50, Noise:0.334, epsilon: 0.947, aloss:-4.513, closs: 0.075, time: 1.15
Episode 111, Reward:12.00, Noise:0.331, epsilon: 0.946, aloss:-4.567, closs: 0.075, time: 1.11
