Episode 58, Reward:351.25, Noise:0.892, epsilon: 0.972, aloss:-150.025, closs: 56.686, time: 1.24
Episode 59, Reward:125.11, Noise:0.890, epsilon: 0.971, aloss:-152.379, closs: 58.350, time: 0.39
Episode 60, Reward:360.42, Noise:0.889, epsilon: 0.971, aloss:-151.714, closs: 62.877, time: 1.28
Episode 61, Reward:339.19, Noise:0.887, epsilon: 0.970, aloss:-150.815, closs: 69.481, time: 1.19
Episode 62, Reward:360.37, Noise:0.885, epsilon: 0.970, aloss:-150.125, closs: 68.688, time: 1.32
Episode 63, Reward:364.10, Noise:0.883, epsilon: 0.969, aloss:-150.432, closs: 67.995, time: 1.27
Episode 64, Reward:367.14, Noise:0.882, epsilon: 0.969, aloss:-148.828, closs: 67.511, time: 1.35
Episode 65, Reward:350.50, Noise:0.880, epsilon: 0.968, aloss:-149.533, closs: 62.995, time: 1.30
Episode 66, Reward:354.68, Noise:0.878, epsilon: 0.968, aloss:-149.854, closs: 65.414, time: 1.24
Episode 67, Reward:311.95, Noise:0.876, epsilon: 0.968, aloss:-149.879, closs: 59.920, time: 1.11
Episode 68, Reward:358.26, Noise:0.874, epsilon: 0.967, aloss:-152.061, closs: 52.516, time: 1.26
Episode 69, Reward:352.11, Noise:0.873, epsilon: 0.967, aloss:-150.794, closs: 65.398, time: 1.31
Episode 70, Reward:354.70, Noise:0.871, epsilon: 0.966, aloss:-152.267, closs: 57.299, time: 1.33
Episode 71, Reward:365.01, Noise:0.869, epsilon: 0.966, aloss:-152.031, closs: 61.159, time: 1.34
Episode 72, Reward:98.76, Noise:0.867, epsilon: 0.965, aloss:-151.228, closs: 62.513, time: 0.32
Episode 73, Reward:349.41, Noise:0.866, epsilon: 0.965, aloss:-151.682, closs: 62.682, time: 1.38
Episode 74, Reward:165.06, Noise:0.864, epsilon: 0.964, aloss:-151.151, closs: 69.200, time: 0.60
Episode 75, Reward:253.35, Noise:0.862, epsilon: 0.964, aloss:-152.648, closs: 48.441, time: 0.86
Episode 76, Reward:362.23, Noise:0.861, epsilon: 0.963, aloss:-152.024, closs: 62.006, time: 1.26
