Episode 58, Reward:13.00, Noise:0.751, epsilon: 0.972, aloss:-4.846, closs: 0.092, time: 1.10
Episode 59, Reward:12.35, Noise:0.748, epsilon: 0.971, aloss:-4.942, closs: 0.093, time: 1.10
Episode 60, Reward:8.20, Noise:0.744, epsilon: 0.971, aloss:-4.838, closs: 0.096, time: 0.69
Episode 61, Reward:12.45, Noise:0.740, epsilon: 0.970, aloss:-4.971, closs: 0.086, time: 1.10
Episode 62, Reward:13.35, Noise:0.737, epsilon: 0.970, aloss:-5.014, closs: 0.093, time: 1.10
Episode 63, Reward:1.55, Noise:0.733, epsilon: 0.969, aloss:-4.766, closs: 0.080, time: 0.14
Episode 64, Reward:13.35, Noise:0.729, epsilon: 0.969, aloss:-4.843, closs: 0.090, time: 1.11
Episode 65, Reward:14.35, Noise:0.726, epsilon: 0.968, aloss:-4.882, closs: 0.095, time: 1.10
Episode 66, Reward:5.00, Noise:0.722, epsilon: 0.968, aloss:-4.838, closs: 0.078, time: 0.42
Episode 67, Reward:13.75, Noise:0.718, epsilon: 0.968, aloss:-4.796, closs: 0.100, time: 1.10
Episode 68, Reward:11.35, Noise:0.715, epsilon: 0.967, aloss:-4.745, closs: 0.090, time: 1.14
Episode 69, Reward:6.15, Noise:0.711, epsilon: 0.967, aloss:-4.844, closs: 0.093, time: 0.53
Episode 70, Reward:12.45, Noise:0.708, epsilon: 0.966, aloss:-4.839, closs: 0.088, time: 1.12
Episode 71, Reward:11.55, Noise:0.704, epsilon: 0.966, aloss:-4.905, closs: 0.083, time: 1.12
Episode 72, Reward:12.80, Noise:0.701, epsilon: 0.965, aloss:-5.008, closs: 0.089, time: 1.12
Episode 73, Reward:12.70, Noise:0.697, epsilon: 0.965, aloss:-4.926, closs: 0.087, time: 1.15
Episode 74, Reward:11.50, Noise:0.694, epsilon: 0.964, aloss:-4.924, closs: 0.088, time: 1.13
Episode 75, Reward:11.75, Noise:0.690, epsilon: 0.964, aloss:-4.906, closs: 0.084, time: 1.12
Episode 76, Reward:3.10, Noise:0.687, epsilon: 0.963, aloss:-5.121, closs: 0.068, time: 0.24
Episode 77, Reward:12.60, Noise:0.683, epsilon: 0.963, aloss:-5.103, closs: 0.081, time: 1.15
Episode 78, Reward:7.10, Noise:0.680, epsilon: 0.962, aloss:-5.035, closs: 0.089, time: 0.61
