Episode 58, Reward:0.00, Noise:0.751, epsilon: 0.972, aloss: 0.000, closs: 0.000, time: 0.51
Episode 59, Reward:0.00, Noise:0.748, epsilon: 0.971, aloss: 0.000, closs: 0.000, time: 1.10
Episode 60, Reward:0.00, Noise:0.744, epsilon: 0.971, aloss: 0.000, closs: 0.000, time: 0.52
Episode 61, Reward:0.00, Noise:0.740, epsilon: 0.970, aloss: 0.000, closs: 0.000, time: 1.15
Episode 62, Reward:0.00, Noise:0.737, epsilon: 0.970, aloss: 0.000, closs: 0.000, time: 1.12
Episode 63, Reward:0.00, Noise:0.733, epsilon: 0.969, aloss: 0.000, closs: 0.000, time: 1.10
Episode 64, Reward:0.00, Noise:0.729, epsilon: 0.969, aloss: 0.000, closs: 0.000, time: 0.08
Episode 65, Reward:0.00, Noise:0.726, epsilon: 0.968, aloss: 0.000, closs: 0.000, time: 0.84
Episode 66, Reward:0.00, Noise:0.722, epsilon: 0.968, aloss: 0.000, closs: 0.000, time: 1.11
Episode 67, Reward:0.00, Noise:0.718, epsilon: 0.968, aloss: 0.000, closs: 0.000, time: 1.12
Episode 68, Reward:0.00, Noise:0.715, epsilon: 0.967, aloss: 0.000, closs: 0.000, time: 0.15
Episode 69, Reward:0.00, Noise:0.711, epsilon: 0.967, aloss: 0.000, closs: 0.000, time: 0.54
Episode 70, Reward:0.00, Noise:0.708, epsilon: 0.966, aloss: 0.000, closs: 0.000, time: 0.94
Episode 71, Reward:0.00, Noise:0.704, epsilon: 0.966, aloss: 0.000, closs: 0.000, time: 1.10
Episode 72, Reward:0.00, Noise:0.701, epsilon: 0.965, aloss: 0.000, closs: 0.000, time: 1.10
Episode 73, Reward:0.00, Noise:0.697, epsilon: 0.965, aloss: 0.000, closs: 0.000, time: 0.77
Episode 74, Reward:0.00, Noise:0.694, epsilon: 0.964, aloss: 0.000, closs: 0.000, time: 1.15
Episode 75, Reward:0.00, Noise:0.690, epsilon: 0.964, aloss: 0.000, closs: 0.000, time: 0.40
Episode 76, Reward:0.00, Noise:0.687, epsilon: 0.963, aloss: 0.000, closs: 0.000, time: 1.11
Episode 77, Reward:0.00, Noise:0.683, epsilon: 0.963, aloss: 0.000, closs: 0.000, time: 0.30
Episode 78, Reward:0.00, Noise:0.680, epsilon: 0.962, aloss: 0.000, closs: 0.000, time: 0.06
Episode 79, Reward:0.00, Noise:0.676, epsilon: 0.962, aloss: 0.000, closs: 0.000, time: 0.37
Episode 80, Reward:0.00, Noise:0.673, epsilon: 0.961, aloss: 0.000, closs: 0.000, time: 0.75
Episode 81, Reward:0.00, Noise:0.670, epsilon: 0.961, aloss: 0.000, closs: 0.000, time: 1.09
Episode 82, Reward:0.00, Noise:0.666, epsilon: 0.960, aloss: 0.000, closs: 0.000, time: 1.09
Episode 83, Reward:0.00, Noise:0.663, epsilon: 0.960, aloss: 0.000, closs: 0.000, time: 1.10
Episode 84, Reward:0.00, Noise:0.660, epsilon: 0.959, aloss: 0.000, closs: 0.000, time: 1.12
Episode 85, Reward:0.00, Noise:0.656, epsilon: 0.959, aloss: 0.000, closs: 0.000, time: 1.12
Episode 86, Reward:0.00, Noise:0.653, epsilon: 0.958, aloss: 0.000, closs: 0.000, time: 1.12
Episode 87, Reward:0.00, Noise:0.650, epsilon: 0.958, aloss: 0.000, closs: 0.000, time: 0.15
Episode 88, Reward:0.00, Noise:0.647, epsilon: 0.957, aloss: 0.000, closs: 0.000, time: 1.13
Episode 89, Reward:0.00, Noise:0.643, epsilon: 0.957, aloss: 0.000, closs: 0.000, time: 0.09
Episode 90, Reward:0.00, Noise:0.640, epsilon: 0.956, aloss: 0.000, closs: 0.000, time: 1.13
Episode 91, Reward:0.00, Noise:0.637, epsilon: 0.956, aloss: 0.000, closs: 0.000, time: 0.11
Episode 92, Reward:0.00, Noise:0.634, epsilon: 0.956, aloss: 0.000, closs: 0.000, time: 1.15
Episode 93, Reward:0.00, Noise:0.631, epsilon: 0.955, aloss: 0.000, closs: 0.000, time: 1.13
Episode 94, Reward:0.00, Noise:0.627, epsilon: 0.955, aloss: 0.000, closs: 0.000, time: 1.15
Episode 95, Reward:0.00, Noise:0.624, epsilon: 0.954, aloss: 0.000, closs: 0.000, time: 0.07
Episode 96, Reward:0.00, Noise:0.621, epsilon: 0.954, aloss: 0.000, closs: 0.000, time: 1.15
Episode 97, Reward:0.00, Noise:0.618, epsilon: 0.953, aloss: 0.000, closs: 0.000, time: 1.15
Episode 98, Reward:0.00, Noise:0.615, epsilon: 0.953, aloss:-0.000, closs: 0.000, time: 0.11
Episode 99, Reward:0.00, Noise:0.612, epsilon: 0.952, aloss: 0.000, closs: 0.000, time: 0.21
Episode 100, Reward:0.00, Noise:0.609, epsilon: 0.952, aloss: 0.000, closs: 0.000, time: 1.16
Episode 101, Reward:0.00, Noise:0.606, epsilon: 0.951, aloss:-0.000, closs: 0.000, time: 0.11
Episode 102, Reward:0.00, Noise:0.603, epsilon: 0.951, aloss: 0.000, closs: 0.000, time: 1.12
Episode 103, Reward:0.00, Noise:0.600, epsilon: 0.950, aloss: 0.000, closs: 0.000, time: 0.72
Episode 104, Reward:0.00, Noise:0.597, epsilon: 0.950, aloss: 0.000, closs: 0.000, time: 0.13
Episode 105, Reward:0.00, Noise:0.594, epsilon: 0.949, aloss: 0.000, closs: 0.000, time: 0.13
Episode 106, Reward:0.00, Noise:0.591, epsilon: 0.949, aloss: 0.000, closs: 0.000, time: 0.84
Episode 107, Reward:0.00, Noise:0.588, epsilon: 0.948, aloss: 0.000, closs: 0.000, time: 1.12
Episode 108, Reward:0.00, Noise:0.585, epsilon: 0.948, aloss: 0.000, closs: 0.000, time: 0.90
Episode 109, Reward:0.00, Noise:0.582, epsilon: 0.947, aloss: 0.000, closs: 0.000, time: 1.11
Episode 110, Reward:0.00, Noise:0.579, epsilon: 0.947, aloss: 0.000, closs: 0.000, time: 1.12
Episode 111, Reward:0.00, Noise:0.576, epsilon: 0.946, aloss:-0.000, closs: 0.000, time: 1.17
Episode 112, Reward:0.00, Noise:0.573, epsilon: 0.946, aloss:-0.000, closs: 0.000, time: 0.07
Episode 113, Reward:0.00, Noise:0.570, epsilon: 0.946, aloss: 0.000, closs: 0.000, time: 1.12
Episode 114, Reward:0.00, Noise:0.568, epsilon: 0.945, aloss: 0.000, closs: 0.000, time: 1.12
Episode 115, Reward:0.00, Noise:0.565, epsilon: 0.945, aloss: 0.000, closs: 0.000, time: 1.12
Episode 116, Reward:0.00, Noise:0.562, epsilon: 0.944, aloss: 0.000, closs: 0.000, time: 0.38
Episode 117, Reward:0.00, Noise:0.559, epsilon: 0.944, aloss: 0.000, closs: 0.000, time: 0.98
Episode 118, Reward:0.00, Noise:0.556, epsilon: 0.943, aloss: 0.000, closs: 0.000, time: 0.30
Episode 119, Reward:0.00, Noise:0.554, epsilon: 0.943, aloss: 0.000, closs: 0.000, time: 1.12
Episode 120, Reward:0.00, Noise:0.551, epsilon: 0.942, aloss: 0.000, closs: 0.000, time: 1.13
Episode 121, Reward:0.00, Noise:0.548, epsilon: 0.942, aloss: 0.000, closs: 0.000, time: 1.13
Episode 122, Reward:0.00, Noise:0.545, epsilon: 0.941, aloss: 0.000, closs: 0.000, time: 0.06
Episode 123, Reward:0.00, Noise:0.543, epsilon: 0.941, aloss:-0.000, closs: 0.000, time: 0.06
Episode 124, Reward:0.00, Noise:0.540, epsilon: 0.940, aloss: 0.000, closs: 0.000, time: 0.38
Episode 125, Reward:0.00, Noise:0.537, epsilon: 0.940, aloss: 0.000, closs: 0.000, time: 0.27
Episode 126, Reward:0.00, Noise:0.534, epsilon: 0.939, aloss: 0.000, closs: 0.000, time: 0.91
Episode 127, Reward:0.00, Noise:0.532, epsilon: 0.939, aloss: 0.000, closs: 0.000, time: 1.12
Episode 128, Reward:0.00, Noise:0.529, epsilon: 0.938, aloss: 0.000, closs: 0.000, time: 1.12
Episode 129, Reward:0.00, Noise:0.526, epsilon: 0.938, aloss: 0.000, closs: 0.000, time: 0.92
Episode 130, Reward:0.00, Noise:0.524, epsilon: 0.938, aloss: 0.000, closs: 0.000, time: 1.13
Episode 131, Reward:0.00, Noise:0.521, epsilon: 0.937, aloss: 0.000, closs: 0.000, time: 1.15
Episode 132, Reward:0.00, Noise:0.519, epsilon: 0.937, aloss:-0.000, closs: 0.000, time: 0.57
Episode 133, Reward:0.00, Noise:0.516, epsilon: 0.936, aloss: 0.000, closs: 0.000, time: 1.11
Episode 134, Reward:0.00, Noise:0.513, epsilon: 0.936, aloss: 0.000, closs: 0.000, time: 0.15
Episode 135, Reward:0.00, Noise:0.511, epsilon: 0.935, aloss: 0.000, closs: 0.000, time: 0.86
Episode 136, Reward:0.00, Noise:0.508, epsilon: 0.935, aloss: 0.000, closs: 0.000, time: 0.84
Episode 137, Reward:0.00, Noise:0.506, epsilon: 0.934, aloss: 0.000, closs: 0.000, time: 1.11
Episode 138, Reward:0.00, Noise:0.503, epsilon: 0.934, aloss: 0.000, closs: 0.000, time: 0.51
Episode 139, Reward:0.00, Noise:0.501, epsilon: 0.933, aloss: 0.000, closs: 0.000, time: 1.02
Episode 140, Reward:0.00, Noise:0.498, epsilon: 0.933, aloss:-0.000, closs: 0.000, time: 0.10
Episode 141, Reward:0.00, Noise:0.496, epsilon: 0.932, aloss: 0.000, closs: 0.000, time: 1.11
Episode 142, Reward:0.00, Noise:0.493, epsilon: 0.932, aloss: 0.000, closs: 0.000, time: 1.10
Episode 143, Reward:0.00, Noise:0.491, epsilon: 0.931, aloss: 0.000, closs: 0.000, time: 1.11
Episode 144, Reward:0.00, Noise:0.488, epsilon: 0.931, aloss: 0.000, closs: 0.000, time: 1.11
Episode 145, Reward:0.00, Noise:0.486, epsilon: 0.931, aloss: 0.000, closs: 0.000, time: 1.12
Episode 146, Reward:0.00, Noise:0.483, epsilon: 0.930, aloss: 0.000, closs: 0.000, time: 1.13
Episode 147, Reward:0.00, Noise:0.481, epsilon: 0.930, aloss: 0.000, closs: 0.000, time: 0.39
Episode 148, Reward:0.00, Noise:0.479, epsilon: 0.929, aloss: 0.000, closs: 0.000, time: 0.06
Episode 149, Reward:0.00, Noise:0.476, epsilon: 0.929, aloss: 0.000, closs: 0.000, time: 1.13
Episode 150, Reward:0.00, Noise:0.474, epsilon: 0.928, aloss: 0.000, closs: 0.000, time: 0.67
Episode 151, Reward:0.00, Noise:0.471, epsilon: 0.928, aloss: 0.000, closs: 0.000, time: 0.68
Episode 152, Reward:0.00, Noise:0.469, epsilon: 0.927, aloss: 0.000, closs: 0.000, time: 0.16
Episode 153, Reward:0.00, Noise:0.467, epsilon: 0.927, aloss: 0.000, closs: 0.000, time: 0.21
Episode 154, Reward:0.00, Noise:0.464, epsilon: 0.926, aloss: 0.000, closs: 0.000, time: 0.58
Episode 155, Reward:0.00, Noise:0.462, epsilon: 0.926, aloss: 0.000, closs: 0.000, time: 1.13
Episode 156, Reward:0.00, Noise:0.460, epsilon: 0.925, aloss:-0.000, closs: 0.000, time: 0.07
Episode 157, Reward:0.00, Noise:0.458, epsilon: 0.925, aloss:-0.000, closs: 0.000, time: 0.94
Episode 158, Reward:0.00, Noise:0.455, epsilon: 0.924, aloss: 0.000, closs: 0.000, time: 0.39
Episode 159, Reward:0.00, Noise:0.453, epsilon: 0.924, aloss: 0.000, closs: 0.000, time: 1.21
Episode 160, Reward:0.00, Noise:0.451, epsilon: 0.924, aloss: 0.000, closs: 0.000, time: 1.16
Episode 161, Reward:0.00, Noise:0.448, epsilon: 0.923, aloss: 0.000, closs: 0.000, time: 0.79
Episode 162, Reward:0.00, Noise:0.446, epsilon: 0.923, aloss: 0.000, closs: 0.000, time: 1.15
Episode 163, Reward:0.00, Noise:0.444, epsilon: 0.922, aloss: 0.000, closs: 0.000, time: 1.14
Episode 164, Reward:0.00, Noise:0.442, epsilon: 0.922, aloss: 0.000, closs: 0.000, time: 1.13
Episode 165, Reward:0.00, Noise:0.440, epsilon: 0.921, aloss: 0.000, closs: 0.000, time: 0.22
Episode 166, Reward:0.00, Noise:0.437, epsilon: 0.921, aloss: 0.000, closs: 0.000, time: 1.13
Episode 167, Reward:0.00, Noise:0.435, epsilon: 0.920, aloss: 0.000, closs: 0.000, time: 0.51
