Episode 1, Reward:17.50, Noise:1.000, epsilon: 1.000, aloss: 0.000, closs: 0.000, time: 0.06
Episode 2, Reward:5.30, Noise:0.997, epsilon: 1.000, aloss: 0.000, closs: 0.000, time: 0.01
Episode 3, Reward:38.40, Noise:0.994, epsilon: 0.999, aloss:-0.046, closs: 0.036, time: 0.43
Episode 4, Reward:11.20, Noise:0.991, epsilon: 0.999, aloss:-0.622, closs: 0.140, time: 0.38
Episode 5, Reward:43.20, Noise:0.988, epsilon: 0.998, aloss:-2.732, closs: 0.236, time: 1.30
Episode 6, Reward:1.40, Noise:0.985, epsilon: 0.998, aloss:-4.824, closs: 0.279, time: 0.03
Episode 7, Reward:31.10, Noise:0.982, epsilon: 0.997, aloss:-7.504, closs: 0.523, time: 0.97
Episode 8, Reward:26.50, Noise:0.979, epsilon: 0.997, aloss:-11.370, closs: 0.948, time: 0.82
Episode 9, Reward:19.60, Noise:0.976, epsilon: 0.996, aloss:-12.556, closs: 1.070, time: 0.70
Episode 10, Reward:37.80, Noise:0.973, epsilon: 0.996, aloss:-12.228, closs: 1.029, time: 1.25
Episode 11, Reward:41.80, Noise:0.970, epsilon: 0.995, aloss:-12.266, closs: 1.106, time: 1.28
Episode 12, Reward:27.30, Noise:0.967, epsilon: 0.995, aloss:-12.632, closs: 1.024, time: 0.87
Episode 13, Reward:40.00, Noise:0.965, epsilon: 0.994, aloss:-12.693, closs: 0.985, time: 1.24
Episode 14, Reward:13.40, Noise:0.962, epsilon: 0.994, aloss:-13.480, closs: 0.839, time: 0.46
Episode 15, Reward:24.50, Noise:0.959, epsilon: 0.993, aloss:-13.138, closs: 1.140, time: 0.73
Episode 16, Reward:32.70, Noise:0.956, epsilon: 0.993, aloss:-12.882, closs: 0.984, time: 1.15
Episode 17, Reward:19.00, Noise:0.953, epsilon: 0.992, aloss:-13.092, closs: 1.061, time: 0.58
Episode 18, Reward:40.80, Noise:0.950, epsilon: 0.992, aloss:-12.659, closs: 1.022, time: 1.30
Episode 19, Reward:35.10, Noise:0.947, epsilon: 0.991, aloss:-13.021, closs: 0.965, time: 1.00
Episode 20, Reward:38.70, Noise:0.945, epsilon: 0.991, aloss:-13.217, closs: 1.013, time: 1.38
Episode 21, Reward:38.90, Noise:0.942, epsilon: 0.990, aloss:-13.436, closs: 0.975, time: 1.25
Episode 22, Reward:2.60, Noise:0.939, epsilon: 0.990, aloss:-13.609, closs: 0.870, time: 0.07
Episode 23, Reward:42.40, Noise:0.936, epsilon: 0.989, aloss:-13.532, closs: 0.998, time: 1.18
Episode 24, Reward:14.20, Noise:0.933, epsilon: 0.989, aloss:-13.553, closs: 1.026, time: 0.47
Episode 25, Reward:9.40, Noise:0.930, epsilon: 0.988, aloss:-13.766, closs: 0.900, time: 0.31
Episode 26, Reward:43.90, Noise:0.928, epsilon: 0.988, aloss:-13.537, closs: 1.050, time: 1.30
Episode 27, Reward:41.80, Noise:0.925, epsilon: 0.987, aloss:-13.719, closs: 0.934, time: 1.27
Episode 28, Reward:43.10, Noise:0.922, epsilon: 0.987, aloss:-14.317, closs: 0.942, time: 1.18
