Episode 58, Reward:9.85, Noise:0.751, epsilon: 0.972, aloss:-2.409, closs: 0.083, time: 1.10
Episode 59, Reward:8.95, Noise:0.748, epsilon: 0.971, aloss:-2.589, closs: 0.072, time: 1.10
Episode 60, Reward:2.05, Noise:0.744, epsilon: 0.971, aloss:-2.636, closs: 0.080, time: 0.27
Episode 61, Reward:7.80, Noise:0.740, epsilon: 0.970, aloss:-2.597, closs: 0.078, time: 0.98
Episode 62, Reward:2.55, Noise:0.737, epsilon: 0.970, aloss:-2.618, closs: 0.075, time: 0.30
Episode 63, Reward:3.50, Noise:0.733, epsilon: 0.969, aloss:-2.642, closs: 0.079, time: 0.55
Episode 64, Reward:8.95, Noise:0.729, epsilon: 0.969, aloss:-2.652, closs: 0.070, time: 1.09
Episode 65, Reward:9.80, Noise:0.726, epsilon: 0.968, aloss:-2.668, closs: 0.071, time: 1.09
Episode 66, Reward:9.85, Noise:0.722, epsilon: 0.968, aloss:-2.614, closs: 0.070, time: 1.10
Episode 67, Reward:4.15, Noise:0.718, epsilon: 0.968, aloss:-2.632, closs: 0.063, time: 0.47
Episode 68, Reward:2.95, Noise:0.715, epsilon: 0.967, aloss:-2.652, closs: 0.058, time: 0.29
Episode 69, Reward:10.50, Noise:0.711, epsilon: 0.967, aloss:-2.571, closs: 0.069, time: 1.10
Episode 70, Reward:0.70, Noise:0.708, epsilon: 0.966, aloss:-2.588, closs: 0.062, time: 0.07
Episode 71, Reward:5.40, Noise:0.704, epsilon: 0.966, aloss:-2.695, closs: 0.064, time: 0.71
Episode 72, Reward:1.55, Noise:0.701, epsilon: 0.965, aloss:-2.622, closs: 0.077, time: 0.25
Episode 73, Reward:6.90, Noise:0.697, epsilon: 0.965, aloss:-2.583, closs: 0.066, time: 0.84
Episode 74, Reward:5.65, Noise:0.694, epsilon: 0.964, aloss:-2.659, closs: 0.065, time: 0.62
Episode 75, Reward:4.50, Noise:0.690, epsilon: 0.964, aloss:-2.552, closs: 0.067, time: 0.53
Episode 76, Reward:9.10, Noise:0.687, epsilon: 0.963, aloss:-2.648, closs: 0.066, time: 1.13
Episode 77, Reward:9.85, Noise:0.683, epsilon: 0.963, aloss:-2.651, closs: 0.067, time: 1.14
Episode 78, Reward:8.25, Noise:0.680, epsilon: 0.962, aloss:-2.756, closs: 0.064, time: 1.02
Episode 79, Reward:9.55, Noise:0.676, epsilon: 0.962, aloss:-2.733, closs: 0.069, time: 1.11
Episode 80, Reward:2.75, Noise:0.673, epsilon: 0.961, aloss:-2.668, closs: 0.061, time: 0.40
Episode 81, Reward:3.95, Noise:0.670, epsilon: 0.961, aloss:-2.714, closs: 0.064, time: 0.47
Episode 82, Reward:10.00, Noise:0.666, epsilon: 0.960, aloss:-2.761, closs: 0.068, time: 1.12
Episode 83, Reward:10.05, Noise:0.663, epsilon: 0.960, aloss:-2.690, closs: 0.062, time: 1.12
Episode 84, Reward:9.40, Noise:0.660, epsilon: 0.959, aloss:-2.711, closs: 0.065, time: 1.12
